quarter,year,day,start_of_year,start_of_monthj,start_of_quarter,date,start_of_week,day_of_week,month_name
2010-01-21 00:00:00.000,21,Thursday,Jan,1,2010,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-18 00:00:00.000
2010-01-22 00:00:00.000,22,Friday,Jan,1,2010,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-18 00:00:00.000
2010-01-23 00:00:00.000,23,Saturday,Jan,1,2010,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-18 00:00:00.000
2010-01-24 00:00:00.000,24,Sunday,Jan,1,2010,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-18 00:00:00.000
2010-01-25 00:00:00.000,25,Monday,Jan,1,2010,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-25 00:00:00.000
2010-01-26 00:00:00.000,26,Tuesday,Jan,1,2010,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-25 00:00:00.000
2010-01-27 00:00:00.000,27,Wednesday,Jan,1,2010,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-25 00:00:00.000
2010-01-28 00:00:00.000,28,Thursday,Jan,1,2010,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-25 00:00:00.000
2010-01-29 00:00:00.000,29,Friday,Jan,1,2010,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-25 00:00:00.000
2010-01-30 00:00:00.000,30,Saturday,Jan,1,2010,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-25 00:00:00.000
2010-01-31 00:00:00.000,31,Sunday,Jan,1,2010,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-01 00:00:00.000,2010-01-25 00:00:00.000
2010-02-01 00:00:00.000,1,Monday,Feb,1,2010,2010-01-01 00:00:00.000,2010-02-01 00:00:00.000,2010-01-01 00:00:00.000,2010-02-01 00:00:00.000
2010-02-02 00:00:00.000,2,Tuesday,Feb,1,2010,2010-01-01 00:00:00.000,2010-02-01 00:00:00.000,2010-01-01 00:00:00.000,2010-02-01 00:00:00.000
2010-02-03 00:00:00.000,3,Wednesday,Feb,1,2010,2010-01-01 00:00:00.000,2010-02-01 00:00:00.000,2010-01-01 00:00:00.000,2010-02-01 00:00:00.000
2010-02-04 00:00:00.000,4,Thursday,Feb,1,2010,2010-01-01 00:00:00.000,2010-02-01 00:00:00.000,2010-01-01 00:00:00.000,2010-02-01 00:00:00.000
2010-02-05 00:00:00.000,5,Friday,Feb,1,2010,2010-01-01 00:00:00.000,2010-02-01 00:00:00.000,2010-01-01 00:00:00.000,2010-02-01 00:00:00.000
2010-02-06 00:00:00.000,6,Saturday,Feb,1,2010,2010-01-01 00:00:00.000,2010-02-01 00:00:00.000,2010-01-01 00:00:00.000,2010-02-01 00:00:00.000
2010-02-07 00:00:00.000,7,Sunday,Feb,1,2010,2010-01-01 00:00:00.000,2010-02-01 00:00:00.000,2010-01-01 00:00:00.000,2010-02-01 00:00:00.000
2010-02-08 00:00:00.000,8,Monday,Feb,1,2010,2010-01-01 00:00:00.000,2010-02-01 00:00:00.000,2010-01-01 00:00:00.000,2010-02-08 00:00:00.000
2010-02-09 00:00:00.000,9,Tuesday,Feb,1,2010,2010-01-01 00:00:00.000,2010-02-01 00:00:00.000,2010-01-01 00:00:00.000,2010-02-08 00:00:00.000
2010-02-10 00:00:00.000,10,Wednesday,Feb,1,2010,2010-01-01 00:00:00.000,2010-02-01 00:00:00.000,2010-01-01 00:00:00.000,2010-02-08 00:00:00.000
2010-02-11 00:00:00.000,11,Thursday,Feb,1,2010,2010-01-01 00:00:00.000,2010-02-01 00:00:00.000,2010-01-01 00:00:00.000,2010-02-08 00:00:00.000
2010-02-12 00:00:00.000,12,Friday,Feb,1,2010,2010-01-01 00:00:00.000,2010-02-01 00:00:00.000,2010-01-01 00:00:00.000,2010-02-08 00:00:00.000
2010-02-13 00:00:00.000,13,Saturday,Feb,1,2010,2010-01-01 00:00:00.000,2010-02-01 00:00:00.000,2010-01-01 00:00:00.000,2010-02-08 00:00:00.000
2010-02-14 00:00:00.000,14,Sunday,Feb,1,2010,2010-01-01 00:00:00.000,2010-02-01 00:00:00.000,2010-01-01 00:00:00.000,2010-02-08 00:00:00.000
2010-02-15 00:00:00.000,15,Monday,Feb,1,2010,2010-01-01 00:00:00.000,2010-02-01 00:00:00.000,2010-01-01 00:00:00.000,2010-02-15 00:00:00.000
2010-02-16 00:00:00.000,16,Tuesday,Feb,1,2010,2010-01-01 00:00:00.000,2010-02-01 00:00:00.000,2010-01-01 00:00:00.000,2010-02-15 00:00:00.000
2010-02-17 00:00:00.000,17,Wednesday,Feb,1,2010,2010-01-01 00:00:00.000,2010-02-01 00:00:00.000,2010-01-01 00:00:00.000,2010-02-15 00:00:00.000
2010-02-18 00:00:00.000,18,Thursday,Feb,1,2010,2010-01-01 00:00:00.000,2010-02-01 00:00:00.000,2010-01-01 00:00:00.000,2010-02-15 00:00:00.000
2010-02-19 00:00:00.000,19,Friday,Feb,1,2010,2010-01-01 00:00:00.000,2010-02-01 00:00:00.000,2010-01-01 00:00:00.000,2010-02-15 00:00:00.000
2010-02-20 00:00:00.000,20,Saturday,Feb,1,2010,2010-01-01 00:00:00.000,2010-02-01 00:00:00.000,2010-01-01 00:00:00.000,2010-02-15 00:00:00.000
2010-02-21 00:00:00.000,21,Sunday,Feb,1,2010,2010-01-01 00:00:00.000,2010-02-01 00:00:00.000,2010-01-01 00:00:00.000,2010-02-15 00:00:00.000
2010-02-22 00:00:00.000,22,Monday,Feb,1,2010,2010-01-01 00:00:00.000,2010-02-01 00:00:00.000,2010-01-01 00:00:00.000,2010-02-22 00:00:00.000
2010-02-23 00:00:00.000,23,Tuesday,Feb,1,2010,2010-01-01 00:00:00.000,2010-02-01 00:00:00.000,2010-01-01 00:00:00.000,2010-02-22 00:00:00.000
2010-02-24 00:00:00.000,24,Wednesday,Feb,1,2010,2010-01-01 00:00:00.000,2010-02-01 00:00:00.000,2010-01-01 00:00:00.000,2010-02-22 00:00:00.000
2010-02-25 00:00:00.000,25,Thursday,Feb,1,2010,2010-01-01 00:00:00.000,2010-02-01 00:00:00.000,2010-01-01 00:00:00.000,2010-02-22 00:00:00.000
2010-02-26 00:00:00.000,26,Friday,Feb,1,2010,2010-01-01 00:00:00.000,2010-02-01 00:00:00.000,2010-01-01 00:00:00.000,2010-02-22 00:00:00.000
2010-02-27 00:00:00.000,27,Saturday,Feb,1,2010,2010-01-01 00:00:00.000,2010-02-01 00:00:00.000,2010-01-01 00:00:00.000,2010-02-22 00:00:00.000
2010-02-28 00:00:00.000,28,Sunday,Feb,1,2010,2010-01-01 00:00:00.000,2010-02-01 00:00:00.000,2010-01-01 00:00:00.000,2010-02-22 00:00:00.000
2010-03-01 00:00:00.000,1,Monday,Mar,1,2010,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000
2010-03-02 00:00:00.000,2,Tuesday,Mar,1,2010,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000
2010-03-03 00:00:00.000,3,Wednesday,Mar,1,2010,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000
2010-03-04 00:00:00.000,4,Thursday,Mar,1,2010,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000
2010-03-05 00:00:00.000,5,Friday,Mar,1,2010,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000
2010-03-06 00:00:00.000,6,Saturday,Mar,1,2010,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000
2010-03-07 00:00:00.000,7,Sunday,Mar,1,2010,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000
2010-03-08 00:00:00.000,8,Monday,Mar,1,2010,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000,2010-01-01 00:00:00.000,2010-03-08 00:00:00.000
2010-03-09 00:00:00.000,9,Tuesday,Mar,1,2010,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000,2010-01-01 00:00:00.000,2010-03-08 00:00:00.000
2010-03-10 00:00:00.000,10,Wednesday,Mar,1,2010,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000,2010-01-01 00:00:00.000,2010-03-08 00:00:00.000
2010-03-11 00:00:00.000,11,Thursday,Mar,1,2010,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000,2010-01-01 00:00:00.000,2010-03-08 00:00:00.000
2010-03-12 00:00:00.000,12,Friday,Mar,1,2010,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000,2010-01-01 00:00:00.000,2010-03-08 00:00:00.000
2010-03-13 00:00:00.000,13,Saturday,Mar,1,2010,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000,2010-01-01 00:00:00.000,2010-03-08 00:00:00.000
2010-03-14 00:00:00.000,14,Sunday,Mar,1,2010,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000,2010-01-01 00:00:00.000,2010-03-08 00:00:00.000
2010-03-15 00:00:00.000,15,Monday,Mar,1,2010,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000,2010-01-01 00:00:00.000,2010-03-15 00:00:00.000
2010-03-16 00:00:00.000,16,Tuesday,Mar,1,2010,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000,2010-01-01 00:00:00.000,2010-03-15 00:00:00.000
2010-03-17 00:00:00.000,17,Wednesday,Mar,1,2010,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000,2010-01-01 00:00:00.000,2010-03-15 00:00:00.000
2010-03-18 00:00:00.000,18,Thursday,Mar,1,2010,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000,2010-01-01 00:00:00.000,2010-03-15 00:00:00.000
2010-03-19 00:00:00.000,19,Friday,Mar,1,2010,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000,2010-01-01 00:00:00.000,2010-03-15 00:00:00.000
2010-03-20 00:00:00.000,20,Saturday,Mar,1,2010,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000,2010-01-01 00:00:00.000,2010-03-15 00:00:00.000
2010-03-21 00:00:00.000,21,Sunday,Mar,1,2010,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000,2010-01-01 00:00:00.000,2010-03-15 00:00:00.000
2010-03-22 00:00:00.000,22,Monday,Mar,1,2010,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000,2010-01-01 00:00:00.000,2010-03-22 00:00:00.000
2010-03-23 00:00:00.000,23,Tuesday,Mar,1,2010,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000,2010-01-01 00:00:00.000,2010-03-22 00:00:00.000
2010-03-24 00:00:00.000,24,Wednesday,Mar,1,2010,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000,2010-01-01 00:00:00.000,2010-03-22 00:00:00.000
2010-03-25 00:00:00.000,25,Thursday,Mar,1,2010,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000,2010-01-01 00:00:00.000,2010-03-22 00:00:00.000
2010-03-26 00:00:00.000,26,Friday,Mar,1,2010,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000,2010-01-01 00:00:00.000,2010-03-22 00:00:00.000
2010-03-27 00:00:00.000,27,Saturday,Mar,1,2010,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000,2010-01-01 00:00:00.000,2010-03-22 00:00:00.000
2010-03-28 00:00:00.000,28,Sunday,Mar,1,2010,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000,2010-01-01 00:00:00.000,2010-03-22 00:00:00.000
2010-03-29 00:00:00.000,29,Monday,Mar,1,2010,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000,2010-01-01 00:00:00.000,2010-03-29 00:00:00.000
2010-03-30 00:00:00.000,30,Tuesday,Mar,1,2010,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000,2010-01-01 00:00:00.000,2010-03-29 00:00:00.000
2010-03-31 00:00:00.000,31,Wednesday,Mar,1,2010,2010-01-01 00:00:00.000,2010-03-01 00:00:00.000,2010-01-01 00:00:00.000,2010-03-29 00:00:00.000
2010-04-01 00:00:00.000,1,Thursday,Apr,2,2010,2010-01-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-01 00:00:00.000,2010-03-29 00:00:00.000
2010-04-02 00:00:00.000,2,Friday,Apr,2,2010,2010-01-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-01 00:00:00.000,2010-03-29 00:00:00.000
2010-04-03 00:00:00.000,3,Saturday,Apr,2,2010,2010-01-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-01 00:00:00.000,2010-03-29 00:00:00.000
2010-04-04 00:00:00.000,4,Sunday,Apr,2,2010,2010-01-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-01 00:00:00.000,2010-03-29 00:00:00.000
2010-04-05 00:00:00.000,5,Monday,Apr,2,2010,2010-01-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-05 00:00:00.000
2010-04-06 00:00:00.000,6,Tuesday,Apr,2,2010,2010-01-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-05 00:00:00.000
2010-04-07 00:00:00.000,7,Wednesday,Apr,2,2010,2010-01-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-05 00:00:00.000
2010-04-08 00:00:00.000,8,Thursday,Apr,2,2010,2010-01-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-05 00:00:00.000
2010-04-09 00:00:00.000,9,Friday,Apr,2,2010,2010-01-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-05 00:00:00.000
2010-04-10 00:00:00.000,10,Saturday,Apr,2,2010,2010-01-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-05 00:00:00.000
2010-04-11 00:00:00.000,11,Sunday,Apr,2,2010,2010-01-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-05 00:00:00.000
2010-04-12 00:00:00.000,12,Monday,Apr,2,2010,2010-01-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-12 00:00:00.000
2010-04-13 00:00:00.000,13,Tuesday,Apr,2,2010,2010-01-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-12 00:00:00.000
2010-04-14 00:00:00.000,14,Wednesday,Apr,2,2010,2010-01-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-12 00:00:00.000
2010-04-15 00:00:00.000,15,Thursday,Apr,2,2010,2010-01-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-12 00:00:00.000
2010-04-16 00:00:00.000,16,Friday,Apr,2,2010,2010-01-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-12 00:00:00.000
2010-04-17 00:00:00.000,17,Saturday,Apr,2,2010,2010-01-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-12 00:00:00.000
2010-04-18 00:00:00.000,18,Sunday,Apr,2,2010,2010-01-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-12 00:00:00.000
2010-04-19 00:00:00.000,19,Monday,Apr,2,2010,2010-01-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-19 00:00:00.000
2010-04-20 00:00:00.000,20,Tuesday,Apr,2,2010,2010-01-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-19 00:00:00.000
2010-04-21 00:00:00.000,21,Wednesday,Apr,2,2010,2010-01-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-19 00:00:00.000
2010-04-22 00:00:00.000,22,Thursday,Apr,2,2010,2010-01-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-19 00:00:00.000
2010-04-23 00:00:00.000,23,Friday,Apr,2,2010,2010-01-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-19 00:00:00.000
2010-04-24 00:00:00.000,24,Saturday,Apr,2,2010,2010-01-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-19 00:00:00.000
2010-04-25 00:00:00.000,25,Sunday,Apr,2,2010,2010-01-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-19 00:00:00.000
2010-04-26 00:00:00.000,26,Monday,Apr,2,2010,2010-01-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-26 00:00:00.000
2010-04-27 00:00:00.000,27,Tuesday,Apr,2,2010,2010-01-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-26 00:00:00.000
2010-04-28 00:00:00.000,28,Wednesday,Apr,2,2010,2010-01-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-26 00:00:00.000
2010-04-29 00:00:00.000,29,Thursday,Apr,2,2010,2010-01-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-26 00:00:00.000
2010-04-30 00:00:00.000,30,Friday,Apr,2,2010,2010-01-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-26 00:00:00.000
2010-05-01 00:00:00.000,1,Saturday,May,2,2010,2010-01-01 00:00:00.000,2010-05-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-26 00:00:00.000
2010-05-02 00:00:00.000,2,Sunday,May,2,2010,2010-01-01 00:00:00.000,2010-05-01 00:00:00.000,2010-04-01 00:00:00.000,2010-04-26 00:00:00.000
2010-05-03 00:00:00.000,3,Monday,May,2,2010,2010-01-01 00:00:00.000,2010-05-01 00:00:00.000,2010-04-01 00:00:00.000,2010-05-03 00:00:00.000
2010-05-04 00:00:00.000,4,Tuesday,May,2,2010,2010-01-01 00:00:00.000,2010-05-01 00:00:00.000,2010-04-01 00:00:00.000,2010-05-03 00:00:00.000
2010-05-05 00:00:00.000,5,Wednesday,May,2,2010,2010-01-01 00:00:00.000,2010-05-01 00:00:00.000,2010-04-01 00:00:00.000,2010-05-03 00:00:00.000
2010-05-06 00:00:00.000,6,Thursday,May,2,2010,2010-01-01 00:00:00.000,2010-05-01 00:00:00.000,2010-04-01 00:00:00.000,2010-05-03 00:00:00.000
2010-05-07 00:00:00.000,7,Friday,May,2,2010,2010-01-01 00:00:00.000,2010-05-01 00:00:00.000,2010-04-01 00:00:00.000,2010-05-03 00:00:00.000
2010-05-08 00:00:00.000,8,Saturday,May,2,2010,2010-01-01 00:00:00.000,2010-05-01 00:00:00.000,2010-04-01 00:00:00.000,2010-05-03 00:00:00.000
2010-05-09 00:00:00.000,9,Sunday,May,2,2010,2010-01-01 00:00:00.000,2010-05-01 00:00:00.000,2010-04-01 00:00:00.000,2010-05-03 00:00:00.000
2010-05-10 00:00:00.000,10,Monday,May,2,2010,2010-01-01 00:00:00.000,2010-05-01 00:00:00.000,2010-04-01 00:00:00.000,2010-05-10 00:00:00.000
2010-05-11 00:00:00.000,11,Tuesday,May,2,2010,2010-01-01 00:00:00.000,2010-05-01 00:00:00.000,2010-04-01 00:00:00.000,2010-05-10 00:00:00.000
2010-05-12 00:00:00.000,12,Wednesday,May,2,2010,2010-01-01 00:00:00.000,2010-05-01 00:00:00.000,2010-04-01 00:00:00.000,2010-05-10 00:00:00.000
2010-05-13 00:00:00.000,13,Thursday,May,2,2010,2010-01-01 00:00:00.000,2010-05-01 00:00:00.000,2010-04-01 00:00:00.000,2010-05-10 00:00:00.000
2010-05-14 00:00:00.000,14,Friday,May,2,2010,2010-01-01 00:00:00.000,2010-05-01 00:00:00.000,2010-04-01 00:00:00.000,2010-05-10 00:00:00.000
2010-05-15 00:00:00.000,15,Saturday,May,2,2010,2010-01-01 00:00:00.000,2010-05-01 00:00:00.000,2010-04-01 00:00:00.000,2010-05-10 00:00:00.000
2010-05-16 00:00:00.000,16,Sunday,May,2,2010,2010-01-01 00:00:00.000,2010-05-01 00:00:00.000,2010-04-01 00:00:00.000,2010-05-10 00:00:00.000
2010-05-17 00:00:00.000,17,Monday,May,2,2010,2010-01-01 00:00:00.000,2010-05-01 00:00:00.000,2010-04-01 00:00:00.000,2010-05-17 00:00:00.000
2010-05-18 00:00:00.000,18,Tuesday,May,2,2010,2010-01-01 00:00:00.000,2010-05-01 00:00:00.000,2010-04-01 00:00:00.000,2010-05-17 00:00:00.000
2010-05-19 00:00:00.000,19,Wednesday,May,2,2010,2010-01-01 00:00:00.000,2010-05-01 00:00:00.000,2010-04-01 00:00:00.000,2010-05-17 00:00:00.000
2010-05-20 00:00:00.000,20,Thursday,May,2,2010,2010-01-01 00:00:00.000,2010-05-01 00:00:00.000,2010-04-01 00:00:00.000,2010-05-17 00:00:00.000
2010-05-21 00:00:00.000,21,Friday,May,2,2010,2010-01-01 00:00:00.000,2010-05-01 00:00:00.000,2010-04-01 00:00:00.000,2010-05-17 00:00:00.000
2010-05-22 00:00:00.000,22,Saturday,May,2,2010,2010-01-01 00:00:00.000,2010-05-01 00:00:00.000,2010-04-01 00:00:00.000,2010-05-17 00:00:00.000
2010-05-23 00:00:00.000,23,Sunday,May,2,2010,2010-01-01 00:00:00.000,2010-05-01 00:00:00.000,2010-04-01 00:00:00.000,2010-05-17 00:00:00.000
2010-05-24 00:00:00.000,24,Monday,May,2,2010,2010-01-01 00:00:00.000,2010-05-01 00:00:00.000,2010-04-01 00:00:00.000,2010-05-24 00:00:00.000
2010-05-25 00:00:00.000,25,Tuesday,May,2,2010,2010-01-01 00:00:00.000,2010-05-01 00:00:00.000,2010-04-01 00:00:00.000,2010-05-24 00:00:00.000
2010-05-26 00:00:00.000,26,Wednesday,May,2,2010,2010-01-01 00:00:00.000,2010-05-01 00:00:00.000,2010-04-01 00:00:00.000,2010-05-24 00:00:00.000
2010-05-27 00:00:00.000,27,Thursday,May,2,2010,2010-01-01 00:00:00.000,2010-05-01 00:00:00.000,2010-04-01 00:00:00.000,2010-05-24 00:00:00.000
2010-05-28 00:00:00.000,28,Friday,May,2,2010,2010-01-01 00:00:00.000,2010-05-01 00:00:00.000,2010-04-01 00:00:00.000,2010-05-24 00:00:00.000
2010-05-29 00:00:00.000,29,Saturday,May,2,2010,2010-01-01 00:00:00.000,2010-05-01 00:00:00.000,2010-04-01 00:00:00.000,2010-05-24 00:00:00.000
2010-05-30 00:00:00.000,30,Sunday,May,2,2010,2010-01-01 00:00:00.000,2010-05-01 00:00:00.000,2010-04-01 00:00:00.000,2010-05-24 00:00:00.000
2010-05-31 00:00:00.000,31,Monday,May,2,2010,2010-01-01 00:00:00.000,2010-05-01 00:00:00.000,2010-04-01 00:00:00.000,2010-05-31 00:00:00.000
2010-06-01 00:00:00.000,1,Tuesday,Jun,2,2010,2010-01-01 00:00:00.000,2010-06-01 00:00:00.000,2010-04-01 00:00:00.000,2010-05-31 00:00:00.000
